Train,Test,U,T,Q,Q_t
POI_225 POI_91 POI_73 POI_162 POI_91 POI_203,POI_65,472 472 472 472 472 472,1 5.95 0.9166666666666666 6.416666666666667 -7.283333333333333 146.43333333333334,1 2.35 -15.833333333333334 4.9 -7.283333333333333 129.68333333333334,5.15
POI_225 POI_91 POI_73 POI_162 POI_91 POI_203 POI_65,POI_38,472 472 472 472 472 472 472,1 5.95 0.9166666666666666 6.416666666666667 -7.283333333333333 146.43333333333334 20.45,1 2.35 -15.833333333333334 4.9 -7.283333333333333 129.68333333333334 5.15,34.083333333333336
POI_225 POI_91 POI_73 POI_162 POI_91 POI_203 POI_65 POI_38,POI_154,472 472 472 472 472 472 472 472,1 5.95 0.9166666666666666 6.416666666666667 -7.283333333333333 146.43333333333334 20.45 51.63333333333333,1 2.35 -15.833333333333334 4.9 -7.283333333333333 129.68333333333334 5.15 34.083333333333336,1.3
POI_225 POI_91 POI_73 POI_162 POI_91 POI_203 POI_65 POI_38 POI_154,POI_236,472 472 472 472 472 472 472 472 472,1 5.95 0.9166666666666666 6.416666666666667 -7.283333333333333 146.43333333333334 20.45 51.63333333333333 10.4,1 2.35 -15.833333333333334 4.9 -7.283333333333333 129.68333333333334 5.15 34.083333333333336 1.3,6.6
POI_225 POI_91 POI_73 POI_162 POI_91 POI_203 POI_65 POI_38 POI_154 POI_236,POI_235,472 472 472 472 472 472 472 472 472 472,1 5.95 0.9166666666666666 6.416666666666667 -7.283333333333333 146.43333333333334 20.45 51.63333333333333 10.4 6.6,1 2.35 -15.833333333333334 4.9 -7.283333333333333 129.68333333333334 5.15 34.083333333333336 1.3 6.6,0.8
POI_62,POI_161,472,1,1,1.4
POI_62 POI_161,POI_160,472 472,1 1.4,1 1.4,25.533333333333335
POI_62 POI_161 POI_160,POI_68,472 472 472,1 1.4 102.85,1 1.4 25.533333333333335,7.45
POI_62 POI_161 POI_160 POI_68,POI_159,472 472 472 472,1 1.4 102.85 7.45,1 1.4 25.533333333333335 7.45,4.633333333333334
POI_62 POI_161 POI_160 POI_68 POI_159,POI_17,472 472 472 472 472,1 1.4 102.85 7.45 66.86666666666666,1 1.4 25.533333333333335 7.45 4.633333333333334,3.0166666666666666
POI_62 POI_161 POI_160 POI_68 POI_159 POI_17,POI_67,472 472 472 472 472 472,1 1.4 102.85 7.45 66.86666666666666 3.0166666666666666,1 1.4 25.533333333333335 7.45 4.633333333333334 3.0166666666666666,-31.433333333333334
POI_62 POI_161 POI_160 POI_68 POI_159 POI_17 POI_67,POI_17,472 472 472 472 472 472 472,1 1.4 102.85 7.45 66.86666666666666 3.0166666666666666 1.4333333333333333,1 1.4 25.533333333333335 7.45 4.633333333333334 3.0166666666666666 -31.433333333333334,-5.333333333333333
POI_62 POI_161 POI_160 POI_68 POI_159 POI_17 POI_67 POI_17,POI_67,472 472 472 472 472 472 472 472,1 1.4 102.85 7.45 66.86666666666666 3.0166666666666666 1.4333333333333333 -1.4,1 1.4 25.533333333333335 7.45 4.633333333333334 3.0166666666666666 -31.433333333333334 -5.333333333333333,-31.433333333333334
POI_62 POI_161 POI_160 POI_68 POI_159 POI_17 POI_67 POI_17 POI_67,POI_17,472 472 472 472 472 472 472 472 472,1 1.4 102.85 7.45 66.86666666666666 3.0166666666666666 1.4333333333333333 -1.4 1.4333333333333333,1 1.4 25.533333333333335 7.45 4.633333333333334 3.0166666666666666 -31.433333333333334 -5.333333333333333 -31.433333333333334,-5.333333333333333
POI_125,POI_4,472,1,1,4.316666666666666
POI_125 POI_4,POI_16,472 472,1 4.316666666666666,1 4.316666666666666,12.733333333333333
POI_95,POI_228,476,1,1,20.066666666666666
POI_115,POI_61,476,1,1,18.866666666666667
POI_236,POI_12,477,1,1,196.7
POI_97,POI_133,478,1,1,10.333333333333334
POI_35,POI_230,480,1,1,0.016666666666666666
POI_84,POI_218,482,1,1,-26.166666666666668
POI_84 POI_218,POI_84,482 482,1 2.2333333333333334,1 -26.166666666666668,-23.766666666666666
POI_84 POI_218 POI_84,POI_218,482 482 482,1 2.2333333333333334 -2.2,1 -26.166666666666668 -23.766666666666666,-26.166666666666668
POI_84 POI_218 POI_84 POI_218,POI_84,482 482 482 482,1 2.2333333333333334 -2.2 2.2333333333333334,1 -26.166666666666668 -23.766666666666666 -26.166666666666668,-23.766666666666666
POI_14,POI_38,482,1,1,2.1
POI_14 POI_38,POI_190,482 482,1 2.1,1 2.1,1.4666666666666666
POI_14 POI_38 POI_190,POI_230,482 482 482,1 2.1 1.4666666666666666,1 2.1 1.4666666666666666,1.7
POI_76,POI_230,483,1,1,122.9
POI_228,POI_38,483,1,1,174.23333333333332
POI_228,POI_188,484,1,1,48.5
POI_228 POI_188,POI_132,484 484,1 48.5,1 48.5,44.3
POI_201,POI_188,485,1,1,0.15
POI_61,POI_136,486,1,1,3.5833333333333335
POI_61,POI_178,486,1,1,2.433333333333333
POI_47,POI_163,486,1,1,83.16666666666667
POI_90,POI_29,487,1,1,2.05
POI_224,POI_84,489,1,1,-60.333333333333336
POI_224 POI_84,POI_190,489 489,1 4.15,1 -60.333333333333336,5.733333333333333
POI_224 POI_84 POI_190,POI_230,489 489 489,1 4.15 5.733333333333333,1 -60.333333333333336 5.733333333333333,2.6
POI_224 POI_84 POI_190 POI_230,POI_99,489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334,1 -60.333333333333336 5.733333333333333 2.6,2.0
POI_224 POI_84 POI_190 POI_230 POI_99,POI_189,489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6,1 -60.333333333333336 5.733333333333333 2.6 2.0,6.516666666666667
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189,POI_14,489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667,2.7
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14,POI_13,489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7,0.6666666666666666
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13,POI_29,489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666,1.1166666666666667
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29,POI_90,489 489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666 1.9833333333333334,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666 1.1166666666666667,2.65
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90,POI_35,489 489 489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666 1.9833333333333334 3.4166666666666665,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666 1.1166666666666667 2.65,1.8666666666666667
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90 POI_35,POI_188,489 489 489 489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666 1.9833333333333334 3.4166666666666665 3.6,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666 1.1166666666666667 2.65 1.8666666666666667,0.8833333333333333
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90 POI_35 POI_188,POI_229,489 489 489 489 489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666 1.9833333333333334 3.4166666666666665 3.6 0.8833333333333333,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666 1.1166666666666667 2.65 1.8666666666666667 0.8833333333333333,13.216666666666667
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90 POI_35 POI_188 POI_229,POI_224,489 489 489 489 489 489 489 489 489 489 489 489 489,1 4.15 5.733333333333333 3.9833333333333334 2.6 13.516666666666667 5.883333333333334 0.6666666666666666 1.9833333333333334 3.4166666666666665 3.6 0.8833333333333333 14.566666666666666,1 -60.333333333333336 5.733333333333333 2.6 2.0 6.516666666666667 2.7 0.6666666666666666 1.1166666666666667 2.65 1.8666666666666667 0.8833333333333333 13.216666666666667,-60.766666666666666
POI_131,POI_223,489,1,1,11.066666666666666
POI_188,POI_131,489,1,1,5.183333333333334
POI_188 POI_131,POI_84,489 489,1 5.183333333333334,1 5.183333333333334,-1.1166666666666667
POI_188 POI_131 POI_84,POI_131,489 489 489,1 5.183333333333334 3.85,1 5.183333333333334 -1.1166666666666667,-3.816666666666667
POI_228,POI_187,489,1,1,7.216666666666667
POI_228 POI_187,POI_115,489 489,1 7.216666666666667,1 7.216666666666667,21.5
POI_228 POI_187 POI_115,POI_232,489 489 489,1 7.216666666666667 21.5,1 7.216666666666667 21.5,3.5166666666666666
POI_228 POI_187 POI_115 POI_232,POI_80,489 489 489 489,1 7.216666666666667 21.5 3.5166666666666666,1 7.216666666666667 21.5 3.5166666666666666,6.883333333333334
POI_228 POI_187 POI_115 POI_232 POI_80,POI_95,489 489 489 489 489,1 7.216666666666667 21.5 3.5166666666666666 11.266666666666667,1 7.216666666666667 21.5 3.5166666666666666 6.883333333333334,8.133333333333333
POI_190,POI_90,490,1,1,-0.4
POI_190 POI_90,POI_190,490 490,1 2.1333333333333333,1 -0.4,-2.1
POI_190 POI_90 POI_190,POI_97,490 490 490,1 2.1333333333333333 -2.1,1 -0.4 -2.1,2.2333333333333334
POI_190 POI_90 POI_190 POI_97,POI_230,490 490 490 490,1 2.1333333333333333 -2.1 4.766666666666667,1 -0.4 -2.1 2.2333333333333334,302.0
POI_35,POI_47,491,1,1,0.016666666666666666
POI_35 POI_47,POI_51,491 491,1 0.016666666666666666,1 0.016666666666666666,0.016666666666666666
POI_35 POI_47 POI_51,POI_63,491 491 491,1 0.016666666666666666 0.016666666666666666,1 0.016666666666666666 0.016666666666666666,0.016666666666666666
POI_35 POI_47 POI_51 POI_63,POI_131,491 491 491 491,1 0.016666666666666666 0.016666666666666666 0.016666666666666666,1 0.016666666666666666 0.016666666666666666 0.016666666666666666,0.016666666666666666
POI_35 POI_47 POI_51 POI_63 POI_131,POI_188,491 491 491 491 491,1 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666,1 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666,0.016666666666666666
POI_35 POI_47 POI_51 POI_63 POI_131 POI_188,POI_230,491 491 491 491 491 491,1 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666,1 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666 0.016666666666666666,0.016666666666666666
POI_222,POI_51,491,1,1,52.0
POI_222 POI_51,POI_89,491 491,1 52.0,1 52.0,119.03333333333333
POI_2,POI_230,492,1,1,8.5
POI_2 POI_230,POI_188,492 492,1 8.5,1 8.5,149.55
POI_99,POI_230,492,1,1,3.7
POI_99 POI_230,POI_150,492 492,1 5.6,1 3.7,23.366666666666667
POI_99 POI_230 POI_150,POI_131,492 492 492,1 5.6 23.366666666666667,1 3.7 23.366666666666667,20.45
POI_220,POI_124,492,1,1,6.516666666666667
POI_90,POI_190,492,1,1,-7.55
POI_90 POI_190,POI_188,492 492,1 4.566666666666666,1 -7.55,1.4666666666666666
POI_90 POI_190 POI_188,POI_90,492 492 492,1 4.566666666666666 1.4666666666666666,1 -7.55 1.4666666666666666,-5.983333333333333
POI_90 POI_190 POI_188 POI_90,POI_189,492 492 492 492,1 4.566666666666666 1.4666666666666666 -5.983333333333333,1 -7.55 1.4666666666666666 -5.983333333333333,9.666666666666666
POI_189,POI_224,493,1,1,461.45
POI_189 POI_224,POI_84,493 493,1 461.45,1 461.45,42.38333333333333
POI_189 POI_224 POI_84,POI_188,493 493 493,1 461.45 42.38333333333333,1 461.45 42.38333333333333,29.583333333333332
POI_12,POI_5,494,1,1,9.133333333333333
POI_12 POI_5,POI_11,494 494,1 9.133333333333333,1 9.133333333333333,6.45
POI_12 POI_5 POI_11,POI_8,494 494 494,1 9.133333333333333 6.45,1 9.133333333333333 6.45,13.233333333333333
POI_12 POI_5 POI_11 POI_8,POI_17,494 494 494 494,1 9.133333333333333 6.45 13.233333333333333,1 9.133333333333333 6.45 13.233333333333333,213.46666666666667
POI_12 POI_5 POI_11 POI_8 POI_17,POI_14,494 494 494 494 494,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667,12.716666666666667
POI_12 POI_5 POI_11 POI_8 POI_17 POI_14,POI_13,494 494 494 494 494 494,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667 12.716666666666667,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667 12.716666666666667,2.6
POI_12 POI_5 POI_11 POI_8 POI_17 POI_14 POI_13,POI_188,494 494 494 494 494 494 494,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667 12.716666666666667 2.6,1 9.133333333333333 6.45 13.233333333333333 213.46666666666667 12.716666666666667 2.6,8.3
POI_133,POI_84,495,1,1,31.166666666666668
POI_133 POI_84,POI_131,495 495,1 43.1,1 31.166666666666668,39.35
POI_65,POI_223,496,1,1,93.46666666666667
POI_65 POI_223,POI_228,496 496,1 93.46666666666667,1 93.46666666666667,73.05
POI_65 POI_223 POI_228,POI_190,496 496 496,1 93.46666666666667 73.05,1 93.46666666666667 73.05,6.0
POI_65 POI_223 POI_228 POI_190,POI_230,496 496 496 496,1 93.46666666666667 73.05 10.016666666666667,1 93.46666666666667 73.05 6.0,6.55
POI_228,POI_84,496,1,1,16.316666666666666
POI_228 POI_84,POI_19,496 496,1 16.316666666666666,1 16.316666666666666,5.4
POI_228 POI_84 POI_19,POI_223,496 496 496,1 16.316666666666666 7.333333333333333,1 16.316666666666666 5.4,-43.46666666666667
POI_228 POI_84 POI_19 POI_223,POI_95,496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667,1 16.316666666666666 5.4 -43.46666666666667,-34.96666666666667
POI_228 POI_84 POI_19 POI_223 POI_95,POI_223,496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667,-21.183333333333334
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223,POI_19,496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334,-68.41666666666667
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19,POI_223,496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667,-43.46666666666667
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223,POI_130,496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667,4.533333333333333
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130,POI_131,496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333,-45.45
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131,POI_99,496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45,1.65
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131 POI_99,POI_130,496 496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334 2.2666666666666666,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45 1.65,-177.05
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131 POI_99 POI_130,POI_88,496 496 496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334 2.2666666666666666 -111.35,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45 1.65 -177.05,9.2
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131 POI_99 POI_130 POI_88,POI_55,496 496 496 496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334 2.2666666666666666 -111.35 163.78333333333333,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45 1.65 -177.05 9.2,0.03333333333333333
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131 POI_99 POI_130 POI_88 POI_55,POI_99,496 496 496 496 496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334 2.2666666666666666 -111.35 163.78333333333333 0.03333333333333333,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45 1.65 -177.05 9.2 0.03333333333333333,-52.4
POI_228 POI_84 POI_19 POI_223 POI_95 POI_223 POI_19 POI_223 POI_130 POI_131 POI_99 POI_130 POI_88 POI_55 POI_99,POI_188,496 496 496 496 496 496 496 496 496 496 496 496 496 496 496,1 16.316666666666666 7.333333333333333 12.266666666666667 21.216666666666665 -21.183333333333334 -12.233333333333333 12.266666666666667 60.71666666666667 109.13333333333334 2.2666666666666666 -111.35 163.78333333333333 0.03333333333333333 -52.4,1 16.316666666666666 5.4 -43.46666666666667 -34.96666666666667 -21.183333333333334 -68.41666666666667 -43.46666666666667 4.533333333333333 -45.45 1.65 -177.05 9.2 0.03333333333333333 -52.4,77.05
POI_218,POI_185,496,1,1,31.183333333333334
POI_87,POI_216,497,1,1,6.616666666666666
POI_87 POI_216,POI_217,497 497,1 39.15,1 6.616666666666666,4.0
POI_87 POI_216 POI_217,POI_98,497 497 497,1 39.15 16.35,1 6.616666666666666 4.0,10.25
POI_87 POI_216 POI_217 POI_98,POI_99,497 497 497 497,1 39.15 16.35 24.683333333333334,1 6.616666666666666 4.0 10.25,19.2
POI_87 POI_216 POI_217 POI_98 POI_99,POI_131,497 497 497 497 497,1 39.15 16.35 24.683333333333334 41.766666666666666,1 6.616666666666666 4.0 10.25 19.2,2.783333333333333
POI_87 POI_216 POI_217 POI_98 POI_99 POI_131,POI_55,497 497 497 497 497 497,1 39.15 16.35 24.683333333333334 41.766666666666666 4.8,1 6.616666666666666 4.0 10.25 19.2 2.783333333333333,7.966666666666667
POI_87 POI_216 POI_217 POI_98 POI_99 POI_131 POI_55,POI_130,497 497 497 497 497 497 497,1 39.15 16.35 24.683333333333334 41.766666666666666 4.8 10.266666666666667,1 6.616666666666666 4.0 10.25 19.2 2.783333333333333 7.966666666666667,0.5
POI_189,POI_230,500,1,1,9.483333333333333
POI_230,POI_35,500,1,1,64.61666666666666
POI_230 POI_35,POI_189,500 500,1 64.61666666666666,1 64.61666666666666,110.23333333333333
POI_230 POI_35 POI_189,POI_190,500 500 500,1 64.61666666666666 112.98333333333333,1 64.61666666666666 110.23333333333333,4.033333333333333
POI_79,POI_80,501,1,1,-130.91666666666666
POI_79 POI_80,POI_79,501 501,1 12.433333333333334,1 -130.91666666666666,-24.066666666666666
POI_80,POI_79,501,1,1,5.4
POI_79,POI_92,501,1,1,-307.46666666666664
POI_79 POI_92,POI_79,501 501,1 182.66666666666666,1 -307.46666666666664,-196.86666666666667
POI_79 POI_92 POI_79,POI_80,501 501 501,1 182.66666666666666 -182.63333333333333,1 -307.46666666666664 -196.86666666666667,41.166666666666664
POI_230,POI_65,501,1,1,4.566666666666666
POI_230 POI_65,POI_205,501 501,1 4.566666666666666,1 4.566666666666666,5.816666666666666
POI_230 POI_65 POI_205,POI_173,501 501 501,1 4.566666666666666 5.816666666666666,1 4.566666666666666 5.816666666666666,4.633333333333334
POI_218,POI_84,502,1,1,18.016666666666666
POI_235,POI_189,502,1,1,83.98333333333333
POI_150,POI_35,502,1,1,30.633333333333333
POI_150 POI_35,POI_235,502 502,1 42.68333333333333,1 30.633333333333333,6.6
POI_130,POI_235,502,1,1,34.78333333333333
POI_130 POI_235,POI_98,502 502,1 128.96666666666667,1 34.78333333333333,-84.8
POI_130 POI_235 POI_98,POI_235,502 502 502,1 128.96666666666667 36.45,1 34.78333333333333 -84.8,-80.28333333333333
POI_130 POI_235 POI_98 POI_235,POI_87,502 502 502 502,1 128.96666666666667 36.45 -36.416666666666664,1 34.78333333333333 -84.8 -80.28333333333333,14.266666666666667
POI_130 POI_235 POI_98 POI_235 POI_87,POI_109,502 502 502 502 502,1 128.96666666666667 36.45 -36.416666666666664 135.51666666666668,1 34.78333333333333 -84.8 -80.28333333333333 14.266666666666667,182.41666666666666
POI_130 POI_235 POI_98 POI_235 POI_87 POI_109,POI_81,502 502 502 502 502 502,1 128.96666666666667 36.45 -36.416666666666664 135.51666666666668 189.66666666666666,1 34.78333333333333 -84.8 -80.28333333333333 14.266666666666667 182.41666666666666,31.05
POI_130 POI_235 POI_98 POI_235 POI_87 POI_109 POI_81,POI_84,502 502 502 502 502 502 502,1 128.96666666666667 36.45 -36.416666666666664 135.51666666666668 189.66666666666666 50.483333333333334,1 34.78333333333333 -84.8 -80.28333333333333 14.266666666666667 182.41666666666666 31.05,29.566666666666666
POI_131,POI_93,505,1,1,26.75
POI_131 POI_93,POI_150,505 505,1 26.75,1 26.75,41.7
POI_68,POI_136,506,1,1,0.26666666666666666
POI_7,POI_68,506,1,1,70.56666666666666
POI_61,POI_187,506,1,1,155.63333333333333
POI_61 POI_187,POI_105,506 506,1 156.65,1 155.63333333333333,20.233333333333334
POI_61 POI_187 POI_105,POI_7,506 506 506,1 156.65 20.233333333333334,1 155.63333333333333 20.233333333333334,441.21666666666664
POI_5,POI_7,506,1,1,21.566666666666666
POI_5 POI_7,POI_61,506 506,1 21.566666666666666,1 21.566666666666666,2.183333333333333
POI_5 POI_7 POI_61,POI_88,506 506 506,1 21.566666666666666 2.3,1 21.566666666666666 2.183333333333333,-311.35
POI_5 POI_7 POI_61 POI_88,POI_61,506 506 506 506,1 21.566666666666666 2.3 5.833333333333333,1 21.566666666666666 2.183333333333333 -311.35,-5.8
POI_136,POI_190,506,1,1,174.28333333333333
POI_136 POI_190,POI_201,506 506,1 182.1,1 174.28333333333333,36.61666666666667
POI_88,POI_105,506,1,1,195.51666666666668
POI_88 POI_105,POI_38,506 506,1 195.51666666666668,1 195.51666666666668,122.81666666666666
POI_88 POI_105 POI_38,POI_235,506 506 506,1 195.51666666666668 126.31666666666666,1 195.51666666666668 122.81666666666666,3.2
POI_88 POI_105 POI_38 POI_235,POI_236,506 506 506 506,1 195.51666666666668 126.31666666666666 3.2,1 195.51666666666668 122.81666666666666 3.2,3.8333333333333335
POI_88,POI_90,506,1,1,352.8833333333333
POI_38,POI_165,506,1,1,207.58333333333334
POI_38 POI_165,POI_88,506 506,1 207.58333333333334,1 207.58333333333334,198.76666666666668
POI_205,POI_47,506,1,1,421.4
POI_213,POI_165,506,1,1,-238.16666666666666
POI_213 POI_165,POI_201,506 506,1 104.23333333333333,1 -238.16666666666666,15.1
POI_213 POI_165 POI_201,POI_38,506 506 506,1 104.23333333333333 15.1,1 -238.16666666666666 15.1,25.583333333333332
POI_213 POI_165 POI_201 POI_38,POI_203,506 506 506 506,1 104.23333333333333 15.1 25.583333333333332,1 -238.16666666666666 15.1 25.583333333333332,-573.6333333333333
POI_213 POI_165 POI_201 POI_38 POI_203,POI_213,506 506 506 506 506,1 104.23333333333333 15.1 25.583333333333332 7.5,1 -238.16666666666666 15.1 25.583333333333332 -573.6333333333333,-152.33333333333334
POI_213 POI_165 POI_201 POI_38 POI_203 POI_213,POI_235,506 506 506 506 506 506,1 104.23333333333333 15.1 25.583333333333332 7.5 -152.33333333333334,1 -238.16666666666666 15.1 25.583333333333332 -573.6333333333333 -152.33333333333334,380.1
POI_213 POI_165 POI_201 POI_38 POI_203 POI_213 POI_235,POI_38,506 506 506 506 506 506 506,1 104.23333333333333 15.1 25.583333333333332 7.5 -152.33333333333334 722.5,1 -238.16666666666666 15.1 25.583333333333332 -573.6333333333333 -152.33333333333334 380.1,-577.65
POI_205,POI_96,506,1,1,121.45
POI_205 POI_96,POI_105,506 506,1 121.56666666666666,1 121.45,28.133333333333333
POI_14,POI_178,506,1,1,-82.15
POI_14 POI_178,POI_2,506 506,1 110.31666666666666,1 -82.15,9.566666666666666
POI_14 POI_178 POI_2,POI_35,506 506 506,1 110.31666666666666 9.566666666666666,1 -82.15 9.566666666666666,-57.95
POI_14 POI_178 POI_2 POI_35,POI_14,506 506 506 506,1 110.31666666666666 9.566666666666666 15.433333333333334,1 -82.15 9.566666666666666 -57.95,-184.35
POI_14 POI_178 POI_2 POI_35 POI_14,POI_2,506 506 506 506 506,1 110.31666666666666 9.566666666666666 15.433333333333334 -135.25,1 -82.15 9.566666666666666 -57.95 -184.35,-72.6
POI_14 POI_178 POI_2 POI_35 POI_14 POI_2,POI_90,506 506 506 506 506 506,1 110.31666666666666 9.566666666666666 15.433333333333334 -135.25 119.86666666666666,1 -82.15 9.566666666666666 -57.95 -184.35 -72.6,0.6666666666666666
POI_14 POI_178 POI_2 POI_35 POI_14 POI_2 POI_90,POI_236,506 506 506 506 506 506 506,1 110.31666666666666 9.566666666666666 15.433333333333334 -135.25 119.86666666666666 74.05,1 -82.15 9.566666666666666 -57.95 -184.35 -72.6 0.6666666666666666,47.55
POI_14 POI_178 POI_2 POI_35 POI_14 POI_2 POI_90 POI_236,POI_84,506 506 506 506 506 506 506 506,1 110.31666666666666 9.566666666666666 15.433333333333334 -135.25 119.86666666666666 74.05 48.45,1 -82.15 9.566666666666666 -57.95 -184.35 -72.6 0.6666666666666666 47.55,37.5
POI_235,POI_237,506,1,1,88.5
POI_235 POI_237,POI_110,506 506,1 88.5,1 88.5,74.86666666666666
