Q,A,U,T
POI_102 POI_236 POI_202 POI_190 POI_95 POI_47 POI_5,POI_231,571 571 571 571 571 571 571,1 4 2 1 4 150 9
POI_102 POI_236 POI_202 POI_190 POI_95 POI_47 POI_5 POI_231,POI_232,571 571 571 571 571 571 571 571,1 4 2 1 4 150 9 347
POI_130 POI_127,POI_85,571 571,1 13
POI_130 POI_127 POI_85,POI_73,571 571 571,1 13 25
POI_104 POI_117,POI_11,571 571,1 140
POI_104 POI_117 POI_11,POI_80,571 571 571,1 140 12
POI_14 POI_189,POI_190,572 572,1 2
POI_14 POI_189 POI_190,POI_230,572 572 572,1 2 29
POI_14 POI_189 POI_190 POI_230,POI_131,572 572 572 572,1 2 29 56
POI_14 POI_189 POI_190 POI_230 POI_131,POI_164,572 572 572 572 572,1 2 29 56 27
POI_14 POI_189 POI_190 POI_230 POI_131 POI_164,POI_65,572 572 572 572 572 572,1 2 29 56 27 52
POI_230 POI_131,POI_229,572 572,1 9
POI_230 POI_131 POI_229,POI_84,572 572 572,1 9 26
POI_161 POI_87,POI_124,572 572,1 7
POI_161 POI_87 POI_124,POI_61,572 572 572,1 7 50
POI_161 POI_87 POI_124 POI_61,POI_90,572 572 572 572,1 7 50 249
POI_35 POI_190,POI_84,577 577,1 8
POI_218 POI_228,POI_81,578 578,1 34
POI_218 POI_228 POI_81,POI_80,578 578 578,1 34 16
POI_218 POI_228 POI_81 POI_80,POI_185,578 578 578 578,1 34 16 3
POI_201 POI_190,POI_189,580 580,1 119
POI_55 POI_188,POI_66,581 581,1 11
POI_55 POI_188 POI_66,POI_230,581 581 581,1 11 38
POI_55 POI_188 POI_66 POI_230,POI_150,581 581 581 581,1 11 38 16
POI_182 POI_124,POI_213,581 581,1 170
POI_14 POI_13,POI_164,581 581,1 2
POI_161 POI_137,POI_208,581 581,1 33
POI_161 POI_137 POI_208,POI_230,581 581 581,1 33 52
POI_119 POI_110,POI_61,581 581,1 9
POI_110 POI_119,POI_5,581 581,1 17
POI_5 POI_119,POI_110,581 581,1 284
POI_5 POI_119 POI_110,POI_105,581 581 581,1 284 7
